,price,title,address,type,rooms,bathroom,services_Électricité,services_Chauffage,services_Eau
0,1395.00,"4 1/2 Style Condo, Tout inclus, Semi-Meublé","229 Bishoppower, Lasalle, QC, H8P 2P5",Appartement,3 1/2,1,False,True,True
1,1300.00,"4 1/2, Ville Marie, adj Plateau","2190 Rue de Rouen, Montréal, QC H2K 1L4, Canada",Appartement,4 1/2,1,False,False,True
2,1595.00,"Superbe loft, 2 ch, Sud-Ouest-Griffintown","1880 Centre, Montreal, QC, H3K 1H9",Appartement,4 1/2,1,,,
3,1045.00,NEW STUDIO IN HEART OF DOWNTOWN - QUARTIER DES SPECTACLES,"3445 Rue Hutchison, Montréal, QC H2X 2G1, Canada",Appartement,1 ½ ou 2 ½,1,True,True,True
4,1995.00,Brand New & Modern Large 5 1/2 (3bed) in Heart of Saint Henri,"4308 Rue Saint-Antoine O, Montréal, QC H4C 1C5, Canada",Appartement,5 1/2,1,,,
5,750.00,À LOUER GRAND 3 1/2,"4657 Neuilly, H1S 2R5, St-Léonard, QC",Appartement,3 1/2,1,,,
6,1950.00,Great 2 floor condo to rent,"1971 Rue Centre, Montréal, QC H3K 1J1, Canada",Condo,4 1/2,1.5,,,
7,1390.00,1 mois gratuit - un condo confortable  3 1/2 à Griffintown,"400 rue de l'Inspecteur, H4C 4A8, Montreal, QC",Condo,3 1/2,1,,,
8,690.00,Superbe studio 690$,"10231 Boul St-Laurent, Montréal, QC H3L 2N5, Canada",Appartement,1 ½ ou 2 ½,1,True,True,True
9,1750.00,Sunny 2-Bdrm 4.5 apartment in St. Henri - Available June 1,"204-219 Rue Maria, Montréal, QC H4C 0B5, Canada",Condo,4 1/2,1,False,False,True
10,1450.00,For rent 4 1/2 new renovation (2 months free) and parking,"4e Avenue, Verdun, QC H4G 2Y1, Canada",Appartement,4 1/2,1,,,
11,1400.00,Two bed rooms close to Metro Angrignon,"7031 Rue Louis-Hébert, LaSalle, QC H8N 3E9, Canada",Condo,4 1/2,1,,,
12,2000.00,Renovated 4 bdr apt all with large windows. Ideal for students,"4442 Rue Saint-Urbain, Montréal, QC H2W 1V7, Canada",Duplex/Triplex,6 1/2,1,False,False,True
13,2000.00,Fully renovated and furnished apt with basement and terrace,"4447 Avenue Coloniale, Montréal, QC H2W 2C5, Canada",Duplex/Triplex,6 1/2,1,False,False,True
14,1200.00,Renovated 2 Large bedroom apt located 15 minute walk to McGill,"3521 A Rue de Bullion, Montréal, QC H2X 3A1, Canada",Duplex/Triplex,4 1/2,1,True,False,False
15,1700.00,Bright Open concept apt ideal for University Students,"3970 Avenue de l'Hôtel-de-Ville, Montréal, QC H2W 2G7, Canada",Duplex/Triplex,5 1/2,1,False,False,True
16,2550.00,5 bdr apt renovated + spectacular rooftop terrace,"4102 Rue de Bullion, Montréal, QC H2W 2E5, Canada",Duplex/Triplex,7 1/2 +,1,False,False,True
17,,3 1/2 beau enove tranquil ensoleille,"3887 Rue Mackenzie, Montréal, QC H3S 1E4, Canada",Appartement,3 1/2,1,False,False,True
18,950.00,Beau cachet! Disponible 1er avril,"2795 Hochelaga, Montréal h2k 1k3 QC",Appartement,3 1/2,1,False,False,True
19,1200.00,"NICE AND BIG 4.5 RENOV. MIN. FROM UDM, HEC, METRO'S","4355 Avenue Dupuis, Montréal, QC H3T 1E7, Canada",Appartement,4 1/2,1,False,True,True
20,1500.00,One bedroom apartment,"555 Boulevard René-Lévesque E, Montréal, QC H2L 0C2, Canada",Appartement,3 1/2,1,True,True,True
21,1180.00,Old Montreal downtown studio for rent,"738 Rue Saint-Paul O, Montréal, QC H3C 0N5, Canada",Condo,1 ½ ou 2 ½,1,True,True,True
22,1170.00,ÉCHANGE/SWAP 4 1/2 RDC Plateau 1170$ contre un 5 1/2 et plus,"H2H1X2, Canada",Appartement,4 1/2,1,False,False,True
23,1050.00,"GRAND 3.5 RECEMENT RENOVE , MIN. A PIED  UDM, METRO'S","4355 Avenue Dupuis, Montréal, QC H3T 1E7, Canada",Appartement,3 1/2,1,False,True,True
24,1100.00,3 1/2 meublé à louer - Tout inclus - 1er Juin,"3677 Rue Sainte-Famille, Montréal, QC H2X 2L8, Canada",Appartement,3 1/2,1,True,True,True
25,960.00,Magnifique Studio sur le Plateau/Beautiful Studio on the Plateau,"1150 Rue Marie-Anne, Montréal, QC H2J 2B7, Canada",Appartement,1 ½ ou 2 ½,1,False,False,True
26,,[Neuf] Tour des Canadiens 3 2 cac 2 sdb 1000+ p.c. condo de coin,"1288 Rue Saint-Antoine O, Montréal, QC H3C 1C2, Canada",Condo,4 1/2 et coin détente,2,False,False,True
27,1280.00,Magnifique 3.5 sur le Plateau/Beautiful 3.5 on the Plateau,"1150 Rue Marie-Anne, Montréal, QC H2J 2B7, Canada",Appartement,3 1/2,1,False,False,True
28,875.00,Beau et grand 4 1/2 à Longueuil,"1630 Viannay, Longueuil J4J4T2 QC",Appartement,4 1/2,1,False,True,False
29,680.00,3 1/2 Bachelor / Appartement LaSalle. Très bean. Bon Quartier.,"697 Rue Pilon, LaSalle, QC H8P 3L5, Canada",Appartement,3 1/2,1,,,
30,575.00,"A LOUER 1 1/2, 2 1/2, 3 1/2","Rue de Bordeaux, Montréal, QC H2E, Canada",Appartement,3 1/2,1,False,False,True
31,950.00,"Lasalle: Beau 3 1/2, rénové, 4 électro inclus, libre maint","111 9e Av, LaSalle, QC H8P 2N7, Canada",Appartement,3 1/2,1,,,
32,1500.00,"5 1/2 Nouveau Rosemont, près métro Langelier","6645 R. Pierre-Magnan, Montréal, QC H1M 1A5, Canada",Duplex/Triplex,5 1/2,1,,,
33,700.00,Metro Papineau studio monthly or long term,"Maisonneuve WSt. Laurent, Montreal H2K 4A1 QC, Canada",Appartement,1 ½ ou 2 ½,1,True,True,True
34,,GRAND 3-1/2 ET 4-1/2 HAUT DE GAMME.,"1100 Boulevard Curé-Poirier E, Longueuil, QC J4J 5M2, Canada",Appartement,4 1/2,1,True,False,False
35,730.00,Parc Metro 2 bedrooms closed $730,"Avenue Wiseman, Montréal, QC H3N 2P3, Canada",Appartement,4 1/2,1,,,
36,1895.00,2568 rue joliette,"Rue Joliette, Montréal, QC H1W 3H3, Canada",Condo,5 1/2,2,,,
37,,**OFFRE SPÉCIALE** 3-1/2 DISPONIBLE IMMÉDIATEMENT,"1905 Rue Adoncour, Longueuil, QC J4N 1R3, Canada",Appartement,3 1/2,1,True,False,False
38,900.00,Grand 3 1/2 à louer Saint-Léonard (près de Lacordaire/Belanger),"H1S1Y3, Canada",Sous-sol,3 1/2,1,False,False,True
39,2650.00,"9 1/2 Villeray meublé TOUT INCLUS, rdc+sous-sol+cour, Parc Jarry","7725 Rue Saint-Dominique, Montréal, QC H2R 1X6, Canada",Appartement,7 1/2 +,2,True,True,True
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
