,link,price,title,address,type,rooms,bathroom,services_Électricité,parking_spots,utilities,furnished,size,air_conditioned,allow_pets
0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-31-2-renove-pres-de-metro-cadillac/1528169306,995.00,BEAU 31/2 RENOVÉ PRÉS DE MÉTRO CADILLAC,"3280 DE LA PÉPINIÈRE, MONTREAL, QC, H1N 3N4",Appartement,3 1/2,1,True,0,", Buanderie (dans l'immeuble), , Réfrigérateur / congélateur",False,Non disponible,False,Non
1,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-downtown-griffintown-prime-location-2-months-free/1505757506,1400.00,{3 1/2 - Downtown Griffintown} Prime Location + 2 Months FREE,"688 Rue Notre-Dame Ouest, Montreal, QC, H3W 1J4",Condo,3 1/2,1,False,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,Non disponible,True,Non
2,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-4-1-2-a-louer-plateau-mont-royal-tout-inclus-balcon/1505830082,1490.00,Appartement 4 1/2 à louer plateau mont-royal tout inclus balcon,"3555, rue Berri, Montreal, QC, H2L 4G4",Appartement,4 1/2,2,True,0,", Buanderie (dans l'immeuble), Lave-vaisselle, Réfrigérateur / congélateur",False,Non disponible,True,Non
3,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/brand-new-modern-large-5-1-2-3bed-in-heart-of-saint-henri/1550712639,1995.00,Brand New & Modern Large 5 1/2 (3bed) in Heart of Saint Henri,"4308 Rue Saint-Antoine O, Montréal, QC H4C 1C5, Canada",Appartement,5 1/2,1,,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,900,True,Limité
4,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-vieux-montreal-walk-score-99/1505757475,1875.00,{4 1/2 vieux montreal }  {Walk Score 99},"688 Rue Notre-Dame Ouest, Montreal, QC, H3W 1J4",Appartement,4 1/2,1.5,,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,Non disponible,True,Non
5,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/room-for-rent-chambre/1555631506,525.00,Room for rent / Chambre,"Avenue Auteuil, Brossard, QC J4Z 1M7, Canada",Appartement,4 1/2,1,True,0,"Buanderie (dans l'appartement), , , Réfrigérateur / congélateur",True,1,False,Limité
6,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nice-and-clean-two-bed-room-for-rent-in-marchclose-to-metro/1555631412,1400.00,nice and clean two bed room for rent in Marchclose to metro,"7031 Rue Louis-Hébert, LaSalle, QC H8N 3E9, Canada",Condo,4 1/2,1,,1,"Buanderie (dans l'appartement), , , ",True,900,True,Non
7,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-a-lasalle/1555631238,1000.00,4 1/2 a louer a lasalle,"1534 Rue John-F.-Kennedy, LaSalle, QC H8R 2C7, Canada",Appartement,4 1/2,1,,0,,False,800,False,Non
8,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/the-best-2-bedroom-condo-old-montreal-wifi-hydro-incl/1534079568,2060.00,"THE BEST 2 Bedroom Condo Old Montreal - WiFi, Hydro Incl","1090 Rue de Bleury, Montreal, QC, H2Z 0B7",Condo,4 1/2,1,True,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",False,870,True,Oui
9,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bedroom-apt-downtown-utilities-included-1min-metro-atwater/1551917560,1221.00,1 Bedroom Apt Downtown - Utilities Included - 1min metro Atwater,"2021 Atwater, Montreal, QC, H3H 2P2",Appartement,3 1/2,1,True,0,", Buanderie (dans l'immeuble), Lave-vaisselle, Réfrigérateur / congélateur",False,750,True,Non
10,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-3-1-2-quartier-des-spectacles/1555630625,1400.00,Condo 3 1/2 Quartier des Spectacles,"1248 Avenue de l'Hôtel-de-Ville, Montréal, QC H2X 3A9, Canada",Condo,3 1/2,1,True,0,"Buanderie (dans l'appartement), , Lave-vaisselle, Réfrigérateur / congélateur",True,600,True,Non
11,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/grand-5-1-2-metro-longueuil-multitude-de-services/1555629558,1400.00,"GRAND 5 1/2 Metro Longueuil, multitude de services",", Longueuil J4K4H2 QC, Canada",Appartement,5 1/2,1,False,0,", , Lave-vaisselle, ",False,1 300,False,Non
12,https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/4-1-2-condo-completement-meuble-a-louer-a-griffintown/1546711978,2000.00,4 1/2 Condo Complètement meublé à louer à Griffintown,"1388 Rue Notre-Dame Ouest, Montréal, QC H3C 1K8, Canada",Condo,4 1/2,1,,0,"Buanderie (dans l'appartement), , , ",True,730,True,Non
